cfIdx,id,size
2104,354,3/4 Ton
2105,354,1 Ton
2106,354,Class 4
2107,354,Class 5
2108,355,3/4 Ton
2109,355,1 Ton
2110,355,Class 4
2111,355,Class 5
2112,356,3/4 Ton
2113,356,1 Ton
2114,356,Class 4
2115,356,Class 5
2116,357,1/2 Ton
2117,357,3/4 Ton
2118,358,1/2 Ton
2119,358,3/4 Ton
2120,359,3/4 Ton
2121,359,1 Ton
2122,359,Class 4
2123,359,Class 5
2124,360,3/4 Ton
2125,360,1 Ton
2126,360,Class 4
2127,360,Class 5
2128,381,< 1/2 Ton
2129,381,1/2 Ton
2130,382,< 1/2 Ton
2131,382,1/2 Ton
2132,383,< 1/2 Ton
2133,383,1/2 Ton
2134,384,1/2 Ton
2135,384,3/4 Ton
2136,385,3/4 Ton
2137,386,3/4 Ton
2138,387,3/4 Ton
2139,387,1 Ton
2140,387,Class 4
2141,387,Class 5
2142,388,3/4 Ton
2143,388,1 Ton
2144,388,Class 4
2145,388,Class 5
2146,389,3/4 Ton
2147,389,1 Ton
2148,389,Class 4
2149,389,Class 5
2150,390,3/4 Ton
2151,390,1 Ton
2152,390,Class 4
2153,390,Class 5
2154,391,3/4 Ton
2155,391,1 Ton
2156,391,Class 4
2157,391,Class 5
2158,392,3/4 Ton
2159,392,1 Ton
2160,392,Class 4
2161,392,Class 5
2162,393,1/2 Ton
2163,393,3/4 Ton
2166,394,1/2 Ton
2167,394,3/4 Ton
2168,395,3/4 Ton
2169,395,1 Ton
2170,395,Class 4
2171,395,Class 5
2172,396,3/4 Ton
2173,396,1 Ton
2174,396,Class 4
2175,396,Class 5
2176,397,3/4 Ton
2177,397,1 Ton
2178,397,Class 4
2179,397,Class 5
2180,398,3/4 Ton
2181,398,1 Ton
2182,398,Class 4
2183,398,Class 5
2184,399,1 Ton
2185,399,Class 4
2186,399,Class 5
2187,399,Class 6
2188,400,1 Ton
2189,400,Class 4
2190,400,Class 5
2191,400,Class 6
2192,378,< 1/2 Ton
2193,378,1/2 Ton
2194,379,< 1/2 Ton
2195,379,1/2 Ton
2196,380,< 1/2 Ton
2197,380,1/2 Ton
2198,365,< 1/2 Ton
2199,365,1/2 Ton
2200,366,1/2 Ton
2201,366,3/4 Ton
2226,373,3/4 Ton
2227,373,1 Ton
2228,373,Class 4
2229,373,Class 5
2230,374,3/4 Ton
2231,374,1 Ton
2232,374,Class 4
2233,374,Class 5
2234,375,3/4 Ton
2235,375,1 Ton
2236,375,Class 4
2237,375,Class 5
2238,376,3/4 Ton
2239,376,1 Ton
2240,376,Class 4
2241,376,Class 5
2250,518,1/2 Ton
2251,518,3/4 Ton
2252,518,1 Ton
2253,515,3/4 Ton
2254,515,1 Ton
2255,486,3/4 Ton
2256,486,1 Ton
2257,486,Class 4
2258,486,Class 5
2259,485,3/4 Ton
2260,485,1 Ton
2261,485,Class 4
2262,485,Class 5
