420;137;2
421;137;3
422;137;4
435;138;2
436;138;3
437;138;4
438;198;3
439;198;4
443;200;2
444;200;3
445;200;4
449;202;2
450;202;3
451;202;4
458;23;3
459;23;4
462;191;3
463;191;4
464;210;2
465;210;3
466;210;4
469;192;3
470;192;4
471;211;2
472;211;3
473;211;4
478;186;2
479;186;3
480;186;4
485;187;2
486;187;3
487;187;4
488;189;3
489;189;4
492;179;3
493;179;4
494;188;2
495;188;3
496;188;4
497;190;2
498;190;3
499;190;4
505;182;3
506;182;4
1396;86;2
1397;84;2
1416;81;2
1417;81;3
1418;81;4
1521;185;2
1522;185;3
1525;183;5
1526;183;6
1527;183;7
1833;316;3
1834;316;4
1835;317;3
1836;317;4
1837;318;4
1838;318;5
1839;319;5
1840;319;6
1841;294;1
1842;295;1
1843;296;2
1844;297;2
1845;300;3
1846;302;3
1847;302;4
1848;304;4
1849;304;5
1850;306;5
1851;306;6
1852;298;2
1853;301;3
1854;301;4
1855;303;3
1856;303;4
1857;305;4
1858;305;5
1859;307;5
1860;307;6
1861;299;2
1862;310;6
1863;310;7
1864;308;4
1865;309;5
1866;309;6
1867;312;7
1868;313;7
1869;314;7
1870;315;7
1871;311;7
1872;321;3
1873;321;4
1874;322;4
1875;322;5
1876;322;6
1877;320;2
1878;325;6
1879;325;7
1880;323;3
1881;323;4
1882;324;4
1883;328;6
1884;328;7
1885;326;3
1886;326;4
1887;326;5
1888;327;4
1889;327;6
1890;75;2
1894;70;3
1895;70;4
1896;70;5
1897;70;6
1898;215;1
1899;11;1
1900;82;2
1901;76;2
1902;80;2
1903;80;3
1904;80;4
1905;218;2
1906;218;3
1907;218;4
1908;217;2
1909;217;3
1910;217;4
1911;216;2
1912;216;3
1913;216;4
1914;219;3
1915;219;4
1916;219;5
1917;219;6
1918;221;3
1919;221;4
1920;221;5
1921;221;6
1922;220;3
1923;220;4
1924;220;5
1925;220;6
1926;72;3
1927;72;4
1928;72;5
1929;72;6
1933;73;2
1934;73;3
1935;73;4
1969;111;4
1970;111;5
1971;112;4
1972;112;5
1973;113;2
1974;113;3
1975;114;3
1976;115;3
1977;116;1
1978;117;2
1979;108;3
1980;110;4
1981;104;3
1982;107;4
1983;95;3
1984;95;4
1985;101;3
1986;101;4
1987;102;3
1988;102;4
1989;103;4
1998;193;5
1999;193;6
2000;193;7
2001;134;1
2002;134;2
2003;135;1
2004;135;2
2005;136;2
2006;136;3
2007;142;2
2008;142;3
2009;142;4
2010;144;2
2011;144;3
2012;144;4
2013;145;2
2014;145;3
2015;145;4
2016;146;2
2017;146;3
2018;146;4
2019;139;2
2020;139;3
2021;139;4
2022;140;2
2023;140;3
2024;140;4
2025;168;2
2026;168;3
2027;168;4
2028;169;2
2029;169;3
2030;169;4
2031;170;2
2032;170;3
2033;170;4
2034;150;2
2035;150;3
2036;150;4
2037;166;2
2038;166;3
2039;166;4
2040;167;2
2041;167;3
2042;167;4
2043;194;5
2044;194;6
2045;194;7
2046;176;3
2047;176;4
2048;177;3
2049;177;4
2050;180;3
2051;180;4
2052;178;3
2053;178;4
2054;181;3
2055;181;4
2056;171;3
2057;171;4
2058;173;3
2059;173;4
2060;174;3
2061;174;4
2062;363;4
2063;363;5
2064;363;6
2065;363;7
2066;364;4
2067;364;5
2068;364;6
2069;364;7
2074;342;1
2075;342;2
2076;343;1
2077;343;2
2080;345;1
2081;345;2
2082;344;1
2083;344;2
2084;346;1
2085;346;2
2086;347;1
2087;347;2
2088;348;2
2089;348;3
2090;349;3
2091;350;3
2092;351;3
2093;351;4
2094;351;5
2095;351;6
2096;352;3
2097;352;4
2098;352;5
2099;352;6
2100;353;3
2101;353;4
2102;353;5
2103;353;6
2104;354;3
2105;354;4
2106;354;5
2107;354;6
2108;355;3
2109;355;4
2110;355;5
2111;355;6
2112;356;3
2113;356;4
2114;356;5
2115;356;6
2116;357;2
2117;357;3
2118;358;2
2119;358;3
2120;359;3
2121;359;4
2122;359;5
2123;359;6
2124;360;3
2125;360;4
2126;360;5
2127;360;6
2128;381;1
2129;381;2
2130;382;1
2131;382;2
2132;383;1
2133;383;2
2134;384;2
2135;384;3
2136;385;3
2137;386;3
2138;387;3
2139;387;4
2140;387;5
2141;387;6
2142;388;3
2143;388;4
2144;388;5
2145;388;6
2146;389;3
2147;389;4
2148;389;5
2149;389;6
2150;390;3
2151;390;4
2152;390;5
2153;390;6
2154;391;3
2155;391;4
2156;391;5
2157;391;6
2158;392;3
2159;392;4
2160;392;5
2161;392;6
2162;393;2
2163;393;3
2166;394;2
2167;394;3
2168;395;3
2169;395;4
2170;395;5
2171;395;6
2172;396;3
2173;396;4
2174;396;5
2175;396;6
2176;397;3
2177;397;4
2178;397;5
2179;397;6
2180;398;3
2181;398;4
2182;398;5
2183;398;6
2184;399;4
2185;399;5
2186;399;6
2187;399;7
2188;400;4
2189;400;5
2190;400;6
2191;400;7
2192;378;1
2193;378;2
2194;379;1
2195;379;2
2196;380;1
2197;380;2
2198;365;1
2199;365;2
2200;366;2
2201;366;3
2226;373;3
2227;373;4
2228;373;5
2229;373;6
2230;374;3
2231;374;4
2232;374;5
2233;374;6
2234;375;3
2235;375;4
2236;375;5
2237;375;6
2238;376;3
2239;376;4
2240;376;5
2241;376;6
2250;518;2
2251;518;3
2252;518;4
2253;515;3
2254;515;4
2255;486;3
2256;486;4
2257;486;5
2258;486;6
2259;485;3
2260;485;4
2261;485;5
2262;485;6
2263;516;3
2264;516;4
2265;512;3
2266;512;4
2267;512;5
2268;512;6
2269;495;1
2270;495;2
2273;520;1
2274;520;2
2275;467;5
2276;467;6
2277;467;7
2278;484;5
2279;484;6
2280;484;7
2281;479;2
2283;505;3
2284;505;4
2285;505;5
2286;505;6
2287;497;3
2288;497;4
2289;497;5
2290;497;6
2309;475;1
2310;475;2
2311;468;1
2312;468;2
2313;519;2
2314;519;3
2315;519;4
2316;503;1
2317;503;2
2318;491;2
2319;491;3
2320;491;4
2321;517;2
2322;496;3
2323;496;4
2324;496;5
2325;496;6
2326;513;3
2327;513;4
2328;513;5
2329;513;6
2330;506;3
2331;506;4
2332;506;5
2333;506;6
2334;506;7
2335;470;3
2336;470;4
2337;470;5
2338;470;6
2339;524;4
2340;524;5
2341;524;6
2342;524;7
2343;527;3
2344;527;4
2345;527;5
2346;527;6
2347;527;7
2348;480;3
2349;480;4
2350;480;5
2351;480;6
2352;480;7
2356;522;1
2357;522;2
2358;469;2
2359;469;3
2360;493;2
2361;493;3
2362;472;2
2363;472;3
2364;472;4
2365;494;2
2366;494;3
2367;494;4
2368;471;2
2369;471;3
2370;471;4
2371;476;2
2372;476;3
2373;476;4
2377;489;2
2378;489;3
2379;489;4
2380;489;5
2381;478;3
2382;478;4
2383;490;3
2384;490;4
2385;490;5
2386;490;6
2387;514;3
2388;514;4
2389;514;5
2390;514;6
2391;528;1
2392;528;2
2393;474;1
2394;474;2
2395;492;3
2396;492;4
2397;492;5
2398;492;6
2399;526;3
2400;526;4
2401;526;5
2402;526;6
2403;473;3
2404;473;4
2405;499;3
2406;499;4
2407;499;5
2408;499;6
2409;477;3
2410;477;4
2411;477;5
2412;477;6
2413;523;3
2414;523;4
2415;487;3
2416;487;4
2417;487;5
2418;487;6
2419;509;3
2420;509;4
2421;509;5
2422;509;6
2423;488;3
2424;488;4
2425;488;5
2426;488;6
2427;510;3
2428;510;4
2429;510;5
2430;510;6
2431;502;3
2432;502;4
2433;501;3
2434;501;4
2435;501;5
2436;501;6
2437;511;3
2438;511;4
2439;511;5
2440;511;6
2441;529;3
2442;529;4
2443;500;3
2444;500;4
2445;500;5
2446;500;6
2447;483;3
2448;483;4
2449;483;5
2450;483;6
2451;377;4
2452;377;5
2453;377;6
2454;377;7
2455;367;3
2456;367;4
2457;367;5
2458;367;6
2459;368;3
2460;368;4
2461;368;5
2462;368;6
2463;369;3
2464;369;4
2465;369;5
2466;369;6
2467;370;3
2468;370;4
2469;370;5
2470;370;6
2471;371;3
2472;371;4
2473;371;5
2474;371;6
2475;372;3
2476;372;4
2477;372;5
2478;372;6
2489;531;1
2490;531;2
2503;534;1
2504;534;2
2505;533;1
2506;533;2
2507;532;1
2508;532;2
2513;508;3
2514;508;4
2515;508;5
2516;508;6
2517;504;1
2518;504;2
2523;525;3
2524;525;4
2525;525;5
2526;525;6
2527;481;2
2528;521;3
2529;521;4
2530;521;5
2531;521;6
2532;498;3
2533;498;4
2534;498;5
2535;498;6
2536;482;3
2537;482;4
2538;482;5
2539;482;6
2540;538;2
2541;538;3
2542;538;4
2543;539;2
2544;539;3
2545;539;4
2546;540;2
2547;540;3
2548;540;4
2549;541;2
2550;541;3
2551;541;4
2552;542;2
2553;542;3
2554;542;4
2555;543;2
2556;543;3
2557;543;4
2558;544;3
2559;544;4
2560;544;5
2561;545;3
2562;545;4
2563;545;5
2564;545;6
2565;546;3
2566;546;4
2567;546;5
2568;546;6
2569;547;3
2570;547;4
2571;547;5
2572;547;6
2573;548;3
2574;548;4
2575;548;5
2576;549;3
2577;549;4
2578;549;5
2579;549;6
2589;155;2
2590;155;3
2591;155;4
2592;156;2
2593;156;3
2594;156;4
2595;157;2
2596;157;3
2597;157;4
2598;159;3
2599;159;4
2600;159;5
2601;159;6
2608;160;2
2609;160;3
2610;160;4
2611;161;2
2612;161;3
2613;161;4
2614;162;3
2615;162;4
2616;162;5
2617;163;3
2618;163;4
2619;163;5
2620;163;6
2621;164;4
2622;164;5
2623;164;6
2624;165;4
2625;165;5
2626;165;6
2627;165;7
2628;154;2
2629;154;3
2630;151;1
2631;151;2
2632;152;1
2633;152;2
2634;152;3
2635;153;2
2636;153;3
2645;553;2
2646;551;2
2647;551;3
2648;552;2
2649;550;2
2650;550;3
2651;120;2
2652;120;3
2653;123;3
2654;123;4
2655;122;3
2656;122;4
2659;121;3
2660;121;4
2661;507;5
2662;507;6
2663;507;7
